Name,Mean (ps),2*Stdev (ps)
All.getPathType.get file.PathReader: get file,1792572,114196
All.getPathType.get file.PosixCompat: get file,878311,87166
All.getPathType.get dir.PathReader: get dir,1220266,84578
All.getPathType.get dir.PosixCompat: get dir,804526,42790
All.getPathType.get file link.PathReader: get file link,666872,49968
All.getPathType.get file link.PosixCompat: get file link,905613,87026
All.getPathType.get dir link.PathReader: get dir link,664792,44946
All.getPathType.get dir link.PosixCompat: get dir link,824006,41086
